Dist.,School,DBN,Grade Level,Type of School,Principal,Arts Education Liaision,Cultural & Arts Partners,Arts Discipline,Total Number of Students Served,Total Contact Hours Per Student,Dist.
,Facing History School (The),02M303,"09,10,11,12,SE",High School,Dana Panagot,Kristina Wylie,Urban Arts Partnership,Visual Arts,,,2.0
,Facing History School (The),02M303,"09,10,11,12,SE",High School,Dana Panagot,Kristina Wylie,Urban Arts Partnership,Music,,,2.0
,Facing History School (The),02M303,"09,10,11,12,SE",High School,Dana Panagot,Kristina Wylie,Urban Arts Partnership,Film/Media,,,2.0
,Facing History School (The),02M303,"09,10,11,12,SE",High School,Dana Panagot,Kristina Wylie,Urban Arts Partnership,Visual Arts,,,2.0
,Food and Finance High School,02M288,"09,10,11,12,SE",High School,Roger Turgeon,Paula Astor,None,,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Alvin Ailey Dance Foundation,Dance,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Center for Arts Education,Other,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Cooper Hewitt Museum,Visual Arts,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,"Frick Collection, The",Visual Arts,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Gilder Lehrman,Other,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Hamilton,Theater,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Henry Street Settlement,Other,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Learning Through an Expanded Arts Program (LEAP),Visual Arts,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Lincoln Center Education,Music,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Lincoln Center for the Performing Arts,Music,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Manhattan Theatre Club,Theater,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,"Metropolitan Museum of Art, The",Other,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,"Metropolitan Opera Guild, The",Music,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Museum of Modern Art,Visual Arts,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Pratt Institute,Visual Arts,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,Whitney Museum of American Art,Visual Arts,,,2.0
,Gramercy Arts High School,02M374,"09,10,11,12,SE",High School,Susan Dicicco,Laura Hindelong,YMCA,Other,,,2.0
,Harvest Collegiate High School,02M534,"09,10,11,12,SE",High School,Catherine Burch,Andy Del Calvo,None,,,,2.0
,Harvey Milk High School,02M586,"09,10,11,12,SE",High School,Daphne Perrini,Mark Jabir,None,,,,2.0
,High School for Dual Language and Asian Studies,02M545,"09,10,11,12",High School,Li Yan,Helen Cheng,Tribeca Films,Other,,,2.0
,High School for Environmental Studies,02M400,"09,10,11,12,SE",High School,Amber Najmi Shadid,Heather Deflorio,Alvin Ailey Dance Foundation,Dance,,,2.0
,High School for Environmental Studies,02M400,"09,10,11,12,SE",High School,Amber Najmi Shadid,Heather Deflorio,Lincoln Center Education,Theater,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,Al Herschfeld Theater,Theater,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,AMC Loews,Film/Media,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,AMC Loews,Film/Media,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,American Ballroom Theatre,Dance,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,Lincoln Center Theatre,Theater,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,Lincoln Center Theatre,Theater,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,Lincoln Center Theatre,Theater,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,Lucille Lortel Theater,Theater,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,"Morgan Library, The",Visual Arts,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,Museum of Natural History,Visual Arts,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,New Museum of Contemporary Art,Visual Arts,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,Richard Rogers Theater,Theater,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,Rubin Museum of Art,Visual Arts,,,2.0
,High School for Health Professions and Human Services,02M420,"09,10,11,12,SE",High School,Robert Gentile,Deborah Destaffan,Theatre Development Fund,Theater,,,2.0
,High School M560 - City As School,02M560,"10,11,12",High School,Alan Cheng (former principal),Melissa Birnbaum,None,,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Acting Company,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,African Burial Ground (NPS),Visual Arts,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Arts Connection,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Broadway Bridges,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Cherry Lane Theater,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,English Speaking Union,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Gilder Lehrman,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Marthas Vineyard Museum,Other,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Museum of Chinese in America,Visual Arts,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,New-York Historical Society,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,New-York Historical Society,Theater,,--,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,NYU Tisch School of the Arts,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,TADA! Theatre and Dance Alliance,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,TADA! Theatre and Dance Alliance,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,The Broadway Leage,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Theatre Development Fund,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Theatre Development Fund,Theater,,,2.0
,High School of Economics and Finance,02M489,"09,10,11,12,SE",High School,Michael Stanzione,Raj Nanda,Whitney Museum of American Art,Visual Arts,,,2.0
,High School of Hospitality Management,02M296,"09,10,11,12,SE",High School,Yves Mompoint Jr,Bridget Bordiuk,American Museum of Natural History,Visual Arts,,,2.0
,High School of Hospitality Management,02M296,"09,10,11,12,SE",High School,Yves Mompoint Jr,Bridget Bordiuk,Bronx Zoo,Visual Arts,,,2.0
,High School of Hospitality Management,02M296,"09,10,11,12,SE",High School,Yves Mompoint Jr,Bridget Bordiuk,Fashion Institute of Technology,Visual Arts,,,2.0
,High School of Hospitality Management,02M296,"09,10,11,12,SE",High School,Yves Mompoint Jr,Bridget Bordiuk,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,High School of Hospitality Management,02M296,"09,10,11,12,SE",High School,Yves Mompoint Jr,Bridget Bordiuk,Solomon Guggenheim Museum,Visual Arts,,,2.0
,High School of Hospitality Management,02M296,"09,10,11,12,SE",High School,Yves Mompoint Jr,Bridget Bordiuk,"The Whitney Museum, The",Visual Arts,,,2.0
,Hudson High School of Learning Technologies,02M437,"09,10,11,12,SE",High School,Nancy Amling,Andreya Vivaldi,None,,,,2.0
,Humanities Preparatory Academy,02M605,"09,10,11,12,SE",High School,Jeannie Ferrari,Jeannie Ferrari,Theatre Development Fund,Theater,,,2.0
,I.S. 289,02M289,"06,07,08,SE",Middle School,Zeynep Ozkan,Andolyn Brown,Manhattan Youth,Theater,,,2.0
,Independence High School,02M544,"09,10,11,12",High School,Ron Smolkin,Natalie Willemsen-Fernandez,Alvin Ailey Dance Foundation,Dance,,,2.0
,Independence High School,02M544,"09,10,11,12",High School,Ron Smolkin,Natalie Willemsen-Fernandez,Apollo Theater,Theater,,,2.0
,Independence High School,02M544,"09,10,11,12",High School,Ron Smolkin,Natalie Willemsen-Fernandez,Hamilton,Theater,,,2.0
,Independence High School,02M544,"09,10,11,12",High School,Ron Smolkin,Natalie Willemsen-Fernandez,Museum of Modern Art,Visual Arts,,,2.0
,Independence High School,02M544,"09,10,11,12",High School,Ron Smolkin,Natalie Willemsen-Fernandez,"The Whitney Museum, The",Visual Arts,,,2.0
,Institute for Collaborative Education,02M407,"06,07,08,09,10,11,12",Middle and High School,Peter Karp,Paul Nowell,Materials for the Arts,Visual Arts,,,2.0
,International High School at Union Square,02M438,"09,10,11,12",High School,Vadewatie Ramsuchit,Regina Mian,None,,,,2.0
,J.H.S. 104 Simon Baruch,02M104,"06,07,08,SE",Elementary School,Rocco Macri,Michelle Mccaffrey,Hall of Science,Other,,,2.0
,J.H.S. 104 Simon Baruch,02M104,"06,07,08,SE",Elementary School,Rocco Macri,Michelle Mccaffrey,Morgan Library,Visual Arts,,,2.0
,J.H.S. 104 Simon Baruch,02M104,"06,07,08,SE",Elementary School,Rocco Macri,Michelle Mccaffrey,Museum of Natural History,Visual Arts,,,2.0
,J.H.S. 104 Simon Baruch,02M104,"06,07,08,SE",Elementary School,Rocco Macri,Michelle Mccaffrey,New-York Historical Society,Visual Arts,,,2.0
,J.H.S. 104 Simon Baruch,02M104,"06,07,08,SE",Elementary School,Rocco Macri,Michelle Mccaffrey,Tenement Museum,Visual Arts,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,Classic Stage Company,Theater,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,"Coast Guard Academy, New London, CT",Music,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,Cooper Hewitt Museum,Visual Arts,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,Jazz at Lincoln Center,Music,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,Lincoln Center for the Performing Arts,Music,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,Lincoln Center for the Performing Arts,Other,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,Medieval Times,Theater,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,Museum of Modern Art,Visual Arts,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,New Victory Theatre,Theater,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,Park Avenue Armory,Music,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,Talent Unlimited High School,Theater,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,The Apple Store,Other,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,The United Nations,Film/Media,,,2.0
,J.H.S. 167 Robert F. Wagner,02M167,"06,07,08,SE",Elementary School,Jennifer Rehn,Jennifer Rehn,"Town Hall Foundation, The",Other,,,2.0
,Jacqueline Kennedy Onassis High School,02M529,"09,10,11,12,SE",High School,Edward Demeo,Elisa De Gregorio,Flamenco Vivo Carlota Santana,Music,,,2.0
,Jacqueline Kennedy Onassis High School,02M529,"09,10,11,12,SE",High School,Edward Demeo,Elisa De Gregorio,Gilder Lehrman,Theater,,,2.0
,Jacqueline Kennedy Onassis High School,02M529,"09,10,11,12,SE",High School,Edward Demeo,Elisa De Gregorio,Magic Box Productions,Visual Arts,,,2.0
,Jacqueline Kennedy Onassis High School,02M529,"09,10,11,12,SE",High School,Edward Demeo,Elisa De Gregorio,"Metropolitan Museum of Art, The",Visual Arts,,,2.0
,Jacqueline Kennedy Onassis High School,02M529,"09,10,11,12,SE",High School,Edward Demeo,Elisa De Gregorio,Roundabout Theatre Company,Theater,,,2.0
,Jacqueline Kennedy Onassis High School,02M529,"09,10,11,12,SE",High School,Edward Demeo,Elisa De Gregorio,Roundabout Theatre Company,Theater,,,2.0
,Jacqueline Kennedy Onassis High School,02M529,"09,10,11,12,SE",High School,Edward Demeo,Elisa De Gregorio,Roundabout Theatre Company,Theater,,,2.0
,"James Baldwin School, The: A School for Expeditionary Learning",02M313,"09,10,11,12,SE",High School,Brady Smith,Christine Olson,NYLiveArts,Dance,,,2.0
,Landmark High School,02M419,"09,10,11,12,SE",High School,Caron Pinkus,,No Report Available,,,,2.0
,Leadership and Public Service High School,02M425,"09,10,11,12,SE",High School,Philip Santos,N/A,Carnegie Hall Corporation,Music,,,2.0
,Leadership and Public Service High School,02M425,"09,10,11,12,SE",High School,Philip Santos,N/A,"Metropolitan Opera Guild, The",Music,,,2.0
,Leadership and Public Service High School,02M425,"09,10,11,12,SE",High School,Philip Santos,N/A,The Public Theater,Theater,,,2.0
,Leadership and Public Service High School,02M425,"09,10,11,12,SE",High School,Philip Santos,N/A,Trinity Wall Street,Visual Arts,,,2.0
,Leadership and Public Service High School,02M425,"09,10,11,12,SE",High School,Philip Santos,N/A,Westfield,Visual Arts,,,2.0
,Liberty High School Academy for Newcomers,02M550,"09,10,11,12",High School,Rhonda Huegel,Christina Lozano,The Kitchen,Theater,,,2.0
,Life Sciences Secondary School,02M655,"06,07,08,09,10,11,12,SE",Middle and High School,Kimberly Swanson,Steven Gilhooley,None,,,,2.0
,Lower Manhattan Arts Academy,02M308,"09,10,11,12,SE",High School,John Wenk,Yetta Garfield,Exploring The Arts,Visual Arts,,,2.0
,Lower Manhattan Arts Academy,02M308,"09,10,11,12,SE",High School,John Wenk,Yetta Garfield,Exploring The Arts,Music,,,2.0
,Lower Manhattan Arts Academy,02M308,"09,10,11,12,SE",High School,John Wenk,Yetta Garfield,Exploring The Arts,Dance,,,2.0
,Lower Manhattan Arts Academy,02M308,"09,10,11,12,SE",High School,John Wenk,Yetta Garfield,Park Avenue Armory,Theater,,,2.0
,Lower Manhattan Arts Academy,02M308,"09,10,11,12,SE",High School,John Wenk,Yetta Garfield,Park Avenue Armory,Music,,,2.0
,Lower Manhattan Arts Academy,02M308,"09,10,11,12,SE",High School,John Wenk,Yetta Garfield,Whitney Museum of American Art,Visual Arts,,,2.0
,Lower Manhattan Community Middle School,02M896,"06,07,08,SE",Middle School,Kelly Mcguire,Riley Ayndow,Manhattan School of Music,Music,,,2.0
,M.S. 131,02M131,"06,07,08,SE",Middle School,Phyllis Tam,Hilda Abadia,Third Street Music,Music,,,2.0
,M.S. 255 Salk School of Science,02M255,"06,07,08,SE",Middle School,Rhonda Perry,Aliza Sarian,Eli Kababa,Dance,,,2.0
,M.S. 255 Salk School of Science,02M255,"06,07,08,SE",Middle School,Rhonda Perry,Aliza Sarian,Gina Grandi,Theater,,,2.0
,M.S. 255 Salk School of Science,02M255,"06,07,08,SE",Middle School,Rhonda Perry,Aliza Sarian,Manhattan Youth,Theater,,,2.0
,M.S. 255 Salk School of Science,02M255,"06,07,08,SE",Middle School,Rhonda Perry,Aliza Sarian,Manhattan Youth,Visual Arts,,,2.0
,M.S. 255 Salk School of Science,02M255,"06,07,08,SE",Middle School,Rhonda Perry,Aliza Sarian,Manhattan Youth,Film/Media,,,2.0
,M.S. 255 Salk School of Science,02M255,"06,07,08,SE",Middle School,Rhonda Perry,Aliza Sarian,Manhattan Youth,Music,,,2.0
,M.S. 260 Clinton School Writers & Artists,02M260,"06,07,08,09,10,11, 12, SE",Middle and High School,Jonathan Levin,Jonathan Levin,Whitney Museum of American Art,Visual Arts,,,2.0
,M.S. 297,02M297,"06,07, SE",Middle School,JACQUELINE GETZ,,No Report Available,,,,2.0
,Manhattan Academy for Arts & Language,02M427,"09,10,11,12,SE",High School,Siv Boletsis,Pearla Bergfeld,American Museum of Natural History,Other,,,2.0
,Manhattan Academy for Arts & Language,02M427,"09,10,11,12,SE",High School,Siv Boletsis,Pearla Bergfeld,International Center of Photography,Film/Media,,,2.0
,Manhattan Academy for Arts & Language,02M427,"09,10,11,12,SE",High School,Siv Boletsis,Pearla Bergfeld,Lincoln Center Theatre,Theater,,,2.0
,Manhattan Academy for Arts & Language,02M427,"09,10,11,12,SE",High School,Siv Boletsis,Pearla Bergfeld,Manhattan Theatre Club,Theater,,,2.0
,Manhattan Academy for Arts & Language,02M427,"09,10,11,12,SE",High School,Siv Boletsis,Pearla Bergfeld,New York City Opera,Theater,,,2.0
,Manhattan Academy for Arts & Language,02M427,"09,10,11,12,SE",High School,Siv Boletsis,Pearla Bergfeld,New York Philharmonic,Music,,,2.0
,Manhattan Academy for Arts & Language,02M427,"09,10,11,12,SE",High School,Siv Boletsis,Pearla Bergfeld,Repertorio Español,Theater,,,2.0
,Manhattan Academy for Arts & Language,02M427,"09,10,11,12,SE",High School,Siv Boletsis,Pearla Bergfeld,Young Audiences New York,Film/Media,,,2.0
,Manhattan Bridges High School,02M542,"09,10,11,12",High School,Mirza Sanchez Medina,Marangelitza Rivera,Repertorio Español,Theater,,,2.0
,MANHATTAN BUSINESS ACADEMY,02M392,"09,10,11,12,SE",High School,Karen Polsonetti,Katie Wu,None,,,,2.0
,Manhattan Comprehensive Night and Day High School,02M575,"10,11,12,SE",High School,Michael Toise,Michael Toise,Dancewave,Dance,,,2.0
,Manhattan Comprehensive Night and Day High School,02M575,"10,11,12,SE",High School,Michael Toise,Michael Toise,"ENACT, Inc",Theater,,,2.0
,Manhattan Comprehensive Night and Day High School,02M575,"10,11,12,SE",High School,Michael Toise,Michael Toise,Urban Arts Partnership,Visual Arts,,,2.0
,Manhattan Comprehensive Night and Day High School,02M575,"10,11,12,SE",High School,Michael Toise,Michael Toise,Young Audiences New York,Theater,,,2.0
,Manhattan Early College School for Advertising,02M280,"09,10,11,12,SE",High School,Matthew Tossman,Brandon Scaglione,Creative Arts Team,Theater,,,2.0
